Year,Quarter,GroupBlocks,Species ID,Species Name,Pounds,Total Price
1987,Qtr 1,400,100,"Sardine, Pacific",,
1987,Qtr 1,500,100,"Sardine, Pacific",,
1987,Qtr 1,600,100,"Sardine, Pacific",25346,"$1,735 "
1987,Qtr 1,700,100,"Sardine, Pacific",111972,"$6,815 "
1987,Qtr 2,1032,100,"Sardine, Pacific",,
1987,Qtr 2,1034,100,"Sardine, Pacific",,
1987,Qtr 2,1035,100,"Sardine, Pacific",,
1987,Qtr 2,1037,100,"Sardine, Pacific",,
1987,Qtr 2,400,100,"Sardine, Pacific",,
1987,Qtr 2,500,100,"Sardine, Pacific",1519,$245 
1987,Qtr 2,600,100,"Sardine, Pacific",,
1987,Qtr 2,700,100,"Sardine, Pacific",58240,"$2,736 "
1987,Qtr 3,1033,100,"Sardine, Pacific",,
1987,Qtr 3,1034,100,"Sardine, Pacific",,
1987,Qtr 3,1035,100,"Sardine, Pacific",38192,"$1,932 "
1987,Qtr 3,1037,100,"Sardine, Pacific",899,$163 
1987,Qtr 3,1038,100,"Sardine, Pacific",,
1987,Qtr 3,500,100,"Sardine, Pacific",,
1987,Qtr 3,600,100,"Sardine, Pacific",439,$83 
1987,Qtr 3,700,100,"Sardine, Pacific",645,$101 
1987,Qtr 4,1035,100,"Sardine, Pacific",,
1987,Qtr 4,700,100,"Sardine, Pacific",,
1987,Qtr 1,1033,110,"Anchovy, northern",,
1987,Qtr 1,1034,110,"Anchovy, northern",,
1987,Qtr 1,1037,110,"Anchovy, northern",,
1987,Qtr 1,500,110,"Anchovy, northern",,
1987,Qtr 1,600,110,"Anchovy, northern",,
1987,Qtr 1,700,110,"Anchovy, northern",,
1987,Qtr 2,1034,110,"Anchovy, northern",,
1987,Qtr 2,1035,110,"Anchovy, northern",,
1987,Qtr 2,1037,110,"Anchovy, northern",376985,"$8,914 "
1987,Qtr 2,1038,110,"Anchovy, northern",,
1987,Qtr 2,500,110,"Anchovy, northern",,
1987,Qtr 2,600,110,"Anchovy, northern",,
1987,Qtr 2,700,110,"Anchovy, northern",,
1987,Qtr 3,1033,110,"Anchovy, northern",,
1987,Qtr 3,1034,110,"Anchovy, northern",42425,"$3,061 "
1987,Qtr 3,1035,110,"Anchovy, northern",,
1987,Qtr 3,1036,110,"Anchovy, northern",,
1987,Qtr 3,1037,110,"Anchovy, northern",231205,"$10,981 "
1987,Qtr 3,1038,110,"Anchovy, northern",,
1987,Qtr 3,500,110,"Anchovy, northern",,
1987,Qtr 3,600,110,"Anchovy, northern",,
1987,Qtr 3,700,110,"Anchovy, northern",39588,"$2,837 "
1987,Qtr 4,1032,110,"Anchovy, northern",,
1987,Qtr 4,1034,110,"Anchovy, northern",100389,"$11,003 "
1987,Qtr 4,1035,110,"Anchovy, northern",,
1987,Qtr 4,1037,110,"Anchovy, northern",754125,"$22,649 "
1987,Qtr 4,1038,110,"Anchovy, northern",,
1987,Qtr 4,600,110,"Anchovy, northern",,
1987,Qtr 4,700,110,"Anchovy, northern",,
1987,Qtr 1,1032,467,Opah,4681,"$1,522 "
1987,Qtr 1,1034,467,Opah,,
1987,Qtr 1,1035,467,Opah,,
1987,Qtr 1,1036,467,Opah,,
1987,Qtr 1,1037,467,Opah,,
1987,Qtr 1,500,467,Opah,,
1987,Qtr 1,600,467,Opah,942,$135 
1987,Qtr 1,700,467,Opah,984,$270 
1987,Qtr 1,800,467,Opah,2180,$878 
1987,Qtr 2,1032,467,Opah,5701,"$2,683 "
1987,Qtr 2,1034,467,Opah,,
1987,Qtr 2,1035,467,Opah,,
1987,Qtr 2,1036,467,Opah,,
1987,Qtr 2,1037,467,Opah,,
1987,Qtr 2,200,467,Opah,,
1987,Qtr 2,500,467,Opah,,
1987,Qtr 2,600,467,Opah,,
1987,Qtr 2,700,467,Opah,4983,"$1,924 "
1987,Qtr 2,800,467,Opah,10772,"$5,519 "
1987,Qtr 3,1030,467,Opah,,
1987,Qtr 3,1032,467,Opah,8659,"$4,305 "
1987,Qtr 3,1033,467,Opah,,
1987,Qtr 3,1034,467,Opah,,
1987,Qtr 3,1035,467,Opah,921,$468 
1987,Qtr 3,1036,467,Opah,3686,"$1,138 "
1987,Qtr 3,1037,467,Opah,3955,"$1,298 "
1987,Qtr 3,1038,467,Opah,704,$110 
1987,Qtr 3,400,467,Opah,,
1987,Qtr 3,500,467,Opah,562,$48 
1987,Qtr 3,600,467,Opah,,
1987,Qtr 3,700,467,Opah,,
1987,Qtr 3,800,467,Opah,10616,"$4,886 "
1987,Qtr 4,1032,467,Opah,3629,"$1,744 "
1987,Qtr 4,1033,467,Opah,,
1987,Qtr 4,1034,467,Opah,2985,$862 
1987,Qtr 4,1035,467,Opah,1203,$568 
1987,Qtr 4,1036,467,Opah,3175,$736 
1987,Qtr 4,1037,467,Opah,3672,"$1,006 "
1987,Qtr 4,1038,467,Opah,,
1987,Qtr 4,400,467,Opah,,
1987,Qtr 4,500,467,Opah,,
1987,Qtr 4,600,467,Opah,816,$354 
1987,Qtr 4,700,467,Opah,765,$346 
1987,Qtr 4,800,467,Opah,5437,"$2,180 "
1988,Qtr 1,1034,40,Yellowtail,,
1988,Qtr 1,1035,40,Yellowtail,,
1988,Qtr 1,800,40,Yellowtail,,
1988,Qtr 2,1032,40,Yellowtail,8546,"$8,513 "
1988,Qtr 2,1033,40,Yellowtail,447,$515 
1988,Qtr 2,1034,40,Yellowtail,1070,$832 
1988,Qtr 2,1035,40,Yellowtail,9107,"$3,192 "
1988,Qtr 2,600,40,Yellowtail,,
1988,Qtr 2,700,40,Yellowtail,2109,"$2,271 "
1988,Qtr 2,800,40,Yellowtail,5576,"$5,159 "
1988,Qtr 3,1032,40,Yellowtail,24314,"$21,843 "
1988,Qtr 3,1033,40,Yellowtail,,
1988,Qtr 3,1034,40,Yellowtail,3406,"$3,194 "
1988,Qtr 3,1035,40,Yellowtail,9038,"$4,670 "
1988,Qtr 3,1036,40,Yellowtail,,
1988,Qtr 3,700,40,Yellowtail,5716,"$5,587 "
1988,Qtr 3,800,40,Yellowtail,12201,"$8,266 "
1988,Qtr 4,1032,40,Yellowtail,897,"$1,047 "
1988,Qtr 4,1034,40,Yellowtail,,
1988,Qtr 4,1035,40,Yellowtail,,
1988,Qtr 4,600,40,Yellowtail,,
1988,Qtr 4,700,40,Yellowtail,,
1988,Qtr 4,800,40,Yellowtail,618,$766 
1988,Qtr 1,1031,51,"Mackerel, Pacific",,
1988,Qtr 1,1032,51,"Mackerel, Pacific",2275,$505 
1988,Qtr 1,1033,51,"Mackerel, Pacific",924,$196 
1988,Qtr 1,1034,51,"Mackerel, Pacific",2549068,"$173,738 "
1988,Qtr 1,1035,51,"Mackerel, Pacific",141522,$677 
1988,Qtr 1,1036,51,"Mackerel, Pacific",,
1988,Qtr 1,1037,51,"Mackerel, Pacific",,
1988,Qtr 1,600,51,"Mackerel, Pacific",426,$64 
1988,Qtr 1,700,51,"Mackerel, Pacific",523184,"$64,799 "
1988,Qtr 1,800,51,"Mackerel, Pacific",,
1988,Qtr 2,1030,51,"Mackerel, Pacific",,
1988,Qtr 2,1031,51,"Mackerel, Pacific",,
1988,Qtr 2,1032,51,"Mackerel, Pacific",5805,"$2,002 "
1988,Qtr 2,1033,51,"Mackerel, Pacific",696,$213 
1988,Qtr 2,1034,51,"Mackerel, Pacific",12698112,"$877,631 "
1988,Qtr 2,1035,51,"Mackerel, Pacific",1296,$311 
1988,Qtr 2,1037,51,"Mackerel, Pacific",857,$167 
1988,Qtr 2,1038,51,"Mackerel, Pacific",,
1988,Qtr 2,200,51,"Mackerel, Pacific",,
1988,Qtr 2,600,51,"Mackerel, Pacific",,
1988,Qtr 2,700,51,"Mackerel, Pacific",727356,"$54,314 "
1988,Qtr 2,800,51,"Mackerel, Pacific",169066,"$11,961 "
1988,Qtr 3,100,51,"Mackerel, Pacific",,
1988,Qtr 3,1031,51,"Mackerel, Pacific",,
1988,Qtr 3,1032,51,"Mackerel, Pacific",2567,"$1,098 "
1988,Qtr 3,1034,51,"Mackerel, Pacific",12232828,"$935,239 "
1988,Qtr 3,1035,51,"Mackerel, Pacific",55916,"$3,690 "
1988,Qtr 3,1036,51,"Mackerel, Pacific",,
1988,Qtr 3,1037,51,"Mackerel, Pacific",13823,"$1,004 "
1988,Qtr 3,1038,51,"Mackerel, Pacific",,
1988,Qtr 3,600,51,"Mackerel, Pacific",,
1988,Qtr 3,700,51,"Mackerel, Pacific",399930,"$26,807 "
1988,Qtr 3,800,51,"Mackerel, Pacific",591,$154 
1988,Qtr 4,1031,51,"Mackerel, Pacific",,
1988,Qtr 4,1032,51,"Mackerel, Pacific",1223,$420 
1988,Qtr 4,1033,51,"Mackerel, Pacific",,
1988,Qtr 4,1034,51,"Mackerel, Pacific",6104810,"$435,100 "
1988,Qtr 4,1035,51,"Mackerel, Pacific",25000,"$2,103 "
1988,Qtr 4,1037,51,"Mackerel, Pacific",,
1988,Qtr 4,600,51,"Mackerel, Pacific",,
1988,Qtr 4,700,51,"Mackerel, Pacific",73235,"$5,462 "
1988,Qtr 4,800,51,"Mackerel, Pacific",,
1988,Qtr 1,1031,55,"Mackerel, jack",,
1988,Qtr 1,1034,55,"Mackerel, jack",,
1988,Qtr 1,1035,55,"Mackerel, jack",,
1988,Qtr 1,1037,55,"Mackerel, jack",,
1988,Qtr 1,1038,55,"Mackerel, jack",,
1988,Qtr 2,1031,55,"Mackerel, jack",,
1988,Qtr 2,1034,55,"Mackerel, jack",515023,"$31,433 "
1988,Qtr 2,1037,55,"Mackerel, jack",104976,"$10,550 "
1988,Qtr 2,1038,55,"Mackerel, jack",435,$172 
1988,Qtr 2,700,55,"Mackerel, jack",45605,"$3,702 "
1988,Qtr 3,1031,55,"Mackerel, jack",,
1988,Qtr 3,1032,55,"Mackerel, jack",,
1988,Qtr 3,1034,55,"Mackerel, jack",1641815,"$119,794 "
1988,Qtr 3,1035,55,"Mackerel, jack",,
1988,Qtr 3,1037,55,"Mackerel, jack",11678,"$1,245 "
1988,Qtr 3,1038,55,"Mackerel, jack",9748,$98 
1988,Qtr 3,1040,55,"Mackerel, jack",,
1988,Qtr 3,700,55,"Mackerel, jack",29680,"$2,978 "
1988,Qtr 4,1031,55,"Mackerel, jack",,
1988,Qtr 4,1034,55,"Mackerel, jack",,
1988,Qtr 4,1037,55,"Mackerel, jack",,
1988,Qtr 4,1038,55,"Mackerel, jack",,
1988,Qtr 4,500,55,"Mackerel, jack",,
1988,Qtr 4,700,55,"Mackerel, jack",,
1988,Qtr 1,1031,100,"Sardine, Pacific",,
1988,Qtr 1,1033,100,"Sardine, Pacific",,
1988,Qtr 1,1034,100,"Sardine, Pacific",150550,"$7,498 "
1988,Qtr 1,1035,100,"Sardine, Pacific",,
1988,Qtr 1,1037,100,"Sardine, Pacific",,
1988,Qtr 1,1038,100,"Sardine, Pacific",,
1988,Qtr 1,600,100,"Sardine, Pacific",,
1988,Qtr 1,700,100,"Sardine, Pacific",259809,"$15,686 "
1988,Qtr 2,1031,100,"Sardine, Pacific",,
1988,Qtr 2,1034,100,"Sardine, Pacific",,
1988,Qtr 2,1035,100,"Sardine, Pacific",,
1988,Qtr 2,1037,100,"Sardine, Pacific",805,$163 
1988,Qtr 2,700,100,"Sardine, Pacific",,
1988,Qtr 3,1034,100,"Sardine, Pacific",49370,"$2,517 "
1988,Qtr 3,1036,100,"Sardine, Pacific",,
1988,Qtr 3,1037,100,"Sardine, Pacific",,
1988,Qtr 3,700,100,"Sardine, Pacific",1221,$115 
1988,Qtr 4,1031,100,"Sardine, Pacific",,
1988,Qtr 4,1034,100,"Sardine, Pacific",,
1988,Qtr 4,1037,100,"Sardine, Pacific",,
1988,Qtr 1,1031,110,"Anchovy, northern",,
1988,Qtr 1,1032,110,"Anchovy, northern",,
1988,Qtr 1,1033,110,"Anchovy, northern",,
1988,Qtr 1,1034,110,"Anchovy, northern",64521,"$5,669 "
1988,Qtr 1,1035,110,"Anchovy, northern",,
1988,Qtr 1,1037,110,"Anchovy, northern",,
1988,Qtr 1,600,110,"Anchovy, northern",,
1988,Qtr 1,700,110,"Anchovy, northern",4100,$656 
1988,Qtr 1,800,110,"Anchovy, northern",,
1988,Qtr 2,1032,110,"Anchovy, northern",,
1988,Qtr 2,1034,110,"Anchovy, northern",85408,"$6,628 "
1988,Qtr 2,1035,110,"Anchovy, northern",,
1988,Qtr 2,1037,110,"Anchovy, northern",,
1988,Qtr 2,1038,110,"Anchovy, northern",,
1988,Qtr 2,600,110,"Anchovy, northern",,
1988,Qtr 2,700,110,"Anchovy, northern",,
1988,Qtr 3,1032,110,"Anchovy, northern",,
